listing_id,date
12125,2011-05-02
12125,2013-05-01
12125,2013-07-09
12125,2013-08-30
12125,2013-12-02
12125,2013-12-27
12125,2013-12-30
12125,2014-01-02
12125,2014-01-22
12125,2014-05-19
12125,2014-06-16
12125,2014-08-25
12125,2014-09-01
12125,2014-09-22
12125,2015-06-29
12125,2015-07-20
12125,2015-08-04
12125,2015-08-24
12125,2015-09-01
12125,2015-10-13
12125,2015-10-26
12125,2015-11-02
12125,2016-08-02
12125,2016-08-22
12125,2016-09-06
14560,2012-08-06
14560,2012-08-24
14560,2013-06-02
14560,2013-08-05
14560,2013-08-28
14560,2013-09-05
14560,2013-09-25
14560,2014-01-26
14560,2014-07-01
14560,2014-07-19
14560,2014-08-02
14560,2014-08-06
14560,2014-08-12
14560,2014-08-17
14560,2014-08-26
14560,2014-12-27
14560,2015-02-01
14560,2015-02-09
14560,2015-02-25
14560,2015-03-22
14560,2015-03-23
14560,2015-03-26
14560,2015-05-15
14560,2015-06-14
14560,2015-07-29
14560,2016-02-27
14560,2016-07-17
14560,2016-07-26
14560,2016-09-03
14560,2016-09-17
14560,2017-03-31
14560,2017-05-13
14560,2017-06-19
14560,2017-07-02
14560,2017-08-01
14560,2017-08-08
14560,2017-08-26
14560,2018-01-27
14560,2018-03-31
14560,2018-12-31
14560,2019-01-19
54423,2019-03-31
54423,2019-04-01
54423,2019-04-01
54423,2019-04-03
54423,2019-04-03
54423,2019-04-04
54423,2019-04-04
54423,2019-04-04
54423,2019-04-06
54423,2019-04-10
54423,2019-04-10
54423,2019-04-13
54423,2019-04-16
54423,2019-04-17
54423,2019-04-17
54423,2019-04-17
54423,2019-04-17
54423,2019-04-17
54423,2019-04-18
54423,2019-04-18
54423,2019-04-19
54423,2019-04-20
54423,2019-04-21
54423,2019-04-21
54423,2019-04-22
54423,2019-04-22
54423,2019-04-24
54423,2019-04-25
54423,2019-04-27
54423,2019-04-28
54423,2019-04-28
54423,2019-04-30
54423,2019-05-01
54423,2019-05-01
54423,2019-05-02
54423,2019-05-02
54423,2019-05-05
54423,2019-05-05
54423,2019-05-05
54423,2019-05-09
54423,2019-05-11
54423,2019-05-11
54423,2019-05-11
54423,2019-05-11
54423,2019-05-13
54423,2019-05-16
54423,2019-05-16
54423,2019-05-18
54423,2019-05-18
54423,2019-05-18
54423,2019-05-18
54423,2019-05-18
54423,2019-05-19
54423,2019-05-20
54423,2019-05-23
54423,2019-05-23
54423,2019-05-24
54423,2019-05-25
54423,2019-05-25
54423,2019-05-25
83515,2011-05-05
83515,2011-07-13
83515,2014-05-12
83515,2014-08-07
83515,2014-08-24
83515,2015-07-05
83515,2015-07-10
83515,2015-07-18
83515,2015-07-27
83515,2015-08-22
83515,2015-09-05
83515,2015-09-11
83515,2016-02-06
83515,2016-02-08
83515,2016-05-01
83515,2016-05-14
83515,2016-07-30
83515,2016-08-05
83515,2016-09-05
83515,2017-03-01
83515,2017-03-27
83515,2017-05-15
83515,2017-05-19
83515,2017-06-03
83515,2017-07-08
83515,2017-07-15
83515,2017-08-21
83515,2017-09-04
83515,2017-09-24
83515,2017-10-09
83515,2017-10-15
83515,2018-02-12
83515,2018-02-25
83515,2018-03-22
83515,2018-03-28
83515,2018-04-01
83515,2018-05-20
83515,2018-05-27
83515,2018-08-05
83515,2018-08-13
83515,2018-10-08
83515,2018-10-21
83515,2019-01-05
83515,2019-02-18
83515,2019-02-24
83515,2019-05-20
121235,2016-04-24
121235,2016-05-23
121235,2016-05-31
121235,2016-06-13
121235,2017-04-16
121235,2017-04-30
121235,2017-05-14
121235,2017-07-20
121235,2017-08-02
121235,2017-08-07
121235,2017-08-27
121235,2018-06-18
121235,2018-06-23
121235,2018-06-25
121235,2018-08-25
121235,2018-09-06
121235,2018-10-19
121235,2018-10-21
121235,2019-01-01
138163,2011-07-23
138163,2011-08-07
138163,2011-08-14
138163,2011-09-26
138163,2011-10-11
138163,2011-10-18
138163,2011-11-21
138163,2012-02-07
138163,2012-02-13
138163,2012-02-21
138163,2012-03-06
138163,2012-03-19
138163,2012-03-26
138163,2012-04-04
138163,2012-04-14
138163,2012-04-16
138163,2012-05-01
138163,2012-05-08
138163,2012-05-12
138163,2012-06-11
138163,2012-06-21
138163,2012-08-11
138163,2012-09-04
138163,2012-09-11
138163,2012-09-14
138163,2012-10-24
138163,2012-11-05
138163,2012-11-13
138163,2012-11-19
138163,2012-12-30
138163,2013-01-05
138163,2013-02-26
138163,2013-03-05
138163,2013-03-16
138163,2013-04-07
138163,2013-04-25
138163,2013-05-03
138163,2013-05-17
138163,2013-06-01
138163,2013-06-05
138163,2013-06-24
138163,2013-07-02
138163,2013-07-04
138163,2013-07-08
138163,2013-07-14
138163,2013-07-29
138163,2013-08-08
138163,2013-08-19
138163,2013-08-23
138163,2013-09-30
138163,2013-10-07
138163,2013-10-28
138163,2013-11-18
138163,2014-03-17
138163,2014-03-19
138163,2014-05-01
138163,2014-05-05
138163,2014-05-26
138163,2014-06-02
138163,2014-06-06
138163,2014-06-09
138163,2014-07-04
138163,2014-08-03
138163,2014-08-11
138163,2014-09-09
138163,2014-09-23
138163,2014-11-11
138163,2014-12-27
138163,2015-01-02
138163,2015-01-05
138163,2015-01-26
138163,2015-02-10
138163,2015-02-16
138163,2015-02-23
138163,2015-03-03
138163,2015-03-09
138163,2015-03-12
138163,2015-04-07
138163,2015-04-27
138163,2015-05-24
138163,2015-07-28
138163,2015-08-04
138163,2015-08-11
138163,2015-08-14
138163,2015-08-18
138163,2015-08-27
138163,2015-08-31
138163,2015-09-05
138163,2015-09-11
138163,2015-09-14
138163,2015-09-26
138163,2015-09-28
138163,2015-10-03
138163,2015-10-05
138163,2015-10-07
138163,2015-10-16
138163,2015-10-19
138163,2015-10-24
138163,2015-10-26
138163,2015-11-02
138163,2015-11-08
138163,2015-11-11
138163,2015-11-16
138163,2015-11-18
138163,2015-12-01
138163,2015-12-07
138163,2015-12-21
138163,2015-12-25
138163,2016-01-05
138163,2016-01-19
138163,2016-01-24
138163,2016-02-09
138163,2016-02-16
138163,2016-03-17
138163,2016-03-25
138163,2016-03-29
138163,2016-04-02
138163,2016-04-04
138163,2016-04-11
138163,2016-04-12
138163,2016-04-15
138163,2016-04-17
138163,2016-04-22
138163,2016-04-24
138163,2016-04-28
138163,2016-05-01
138163,2016-05-08
138163,2016-05-13
138163,2016-05-20
138163,2016-05-23
138163,2016-05-27
138163,2016-05-30
138163,2016-06-03
138163,2016-06-22
138163,2016-06-27
138163,2016-06-30
138163,2016-07-03
138163,2016-07-05
138163,2016-07-08
138163,2016-07-15
138163,2016-07-29
138163,2016-08-03
138163,2016-08-14
138163,2016-08-29
138163,2016-09-04
138163,2016-09-06
138163,2016-09-13
138163,2016-09-17
138163,2016-10-07
138163,2016-10-11
138163,2016-10-12
138163,2016-10-16
138163,2016-10-18
138163,2016-10-23
138163,2016-10-30
138163,2016-11-21
138163,2016-11-27
138163,2016-12-04
138163,2016-12-22
138163,2016-12-25
138163,2016-12-28
138163,2017-01-02
138163,2017-01-15
138163,2017-01-22
138163,2017-02-20
138163,2017-03-05
138163,2017-03-12
138163,2017-03-19
138163,2017-03-22
138163,2017-04-02
138163,2017-04-07
138163,2017-04-09
138163,2017-04-13
138163,2017-04-17
138163,2017-04-20
138163,2017-04-26
138163,2017-05-01
138163,2017-05-06
138163,2017-05-08
138163,2017-05-10
138163,2017-05-12
138163,2017-05-15
138163,2017-05-18
138163,2017-05-20
138163,2017-05-23
138163,2017-05-30
138163,2017-06-11
138163,2017-06-15
138163,2017-06-19
138163,2017-06-23
138163,2017-06-25
138163,2017-07-01
138163,2017-07-08
138163,2017-07-14
138163,2017-07-16
138163,2017-08-05
138163,2017-08-09
138163,2017-08-19
138163,2017-08-26
138163,2017-09-01
138163,2017-09-06
138163,2017-09-08
138163,2017-09-17
138163,2017-09-22
138163,2017-09-24
138163,2017-09-29
138163,2017-10-01
138163,2017-10-04
138163,2017-10-06
138163,2017-10-09
138163,2017-10-16
138163,2017-10-29
138163,2017-11-05
138163,2017-11-13
138163,2017-11-19
138163,2017-11-27
138163,2017-12-04
138163,2017-12-12
138163,2017-12-22
138163,2017-12-30
138163,2018-01-02
138163,2018-01-10
138163,2018-01-28
138163,2018-01-29
138163,2018-02-12
138163,2018-02-16
138163,2018-02-19
138163,2018-02-23
138163,2018-02-25
138163,2018-03-02
138163,2018-03-06
138163,2018-03-11
138163,2018-03-19
138163,2018-03-22
138163,2018-03-29
138163,2018-04-01
138163,2018-04-08
138163,2018-04-15
138163,2018-04-26
138163,2018-05-13
138163,2018-05-26
138163,2018-06-01
138163,2018-06-03
138163,2018-06-06
138163,2018-06-15
138163,2018-06-18
138163,2018-06-22
138163,2018-06-29
138163,2018-07-02
138163,2018-07-03
138163,2018-07-06
138163,2018-07-08
138163,2018-07-12
138163,2018-07-19
138163,2018-07-27
138163,2018-07-30
138163,2018-08-01
138163,2018-08-07
138163,2018-08-20
138163,2018-09-03
138163,2018-09-07
138163,2018-09-14
138163,2018-09-16
138163,2018-09-19
138163,2018-09-22
138163,2018-10-02
138163,2018-10-12
138163,2018-10-14
138163,2018-10-19
138163,2018-10-28
138163,2018-11-03
138163,2018-11-12
138163,2018-11-14
138163,2018-11-18
138163,2018-11-25
138163,2018-12-05
138163,2018-12-28
138163,2019-01-01
138163,2019-01-05
138163,2019-01-20
138163,2019-02-04
138163,2019-03-02
138163,2019-03-09
138163,2019-03-21
138163,2019-03-24
138163,2019-03-26
138163,2019-03-29
138163,2019-03-31
138163,2019-04-07
138163,2019-04-18
138163,2019-04-30
138163,2019-05-06
138163,2019-05-09
138163,2019-05-13
138163,2019-05-18
138163,2019-05-20
179318,2016-08-14
179318,2017-04-09
179318,2017-04-17
179318,2017-06-05
179318,2017-06-08
179318,2018-11-15
179318,2018-12-03
179318,2019-02-07
179318,2019-02-17
179318,2019-03-08
179318,2019-03-08
179318,2019-04-08
179318,2019-05-07
185732,2011-08-17
185732,2012-08-20
185732,2013-08-13
185732,2015-07-30
185732,2015-08-03
185732,2015-08-09
185732,2015-08-17
185732,2015-08-23
185732,2015-08-24
185732,2015-09-07
185732,2016-07-25
185732,2016-08-01
185732,2016-08-22
185732,2016-08-29
185732,2016-09-03
185732,2016-09-04
185732,2016-10-09
185732,2016-11-20
185732,2016-12-29
185732,2017-04-15
185732,2017-06-11
185732,2017-06-25
185732,2017-07-03
185732,2017-07-23
185732,2017-07-30
185732,2017-08-06
185732,2017-08-19
185732,2017-08-30
185732,2017-09-01
185732,2017-09-03
185732,2017-09-04
185732,2017-09-06
185732,2018-06-19
185732,2018-06-24
185732,2018-07-01
185732,2018-07-07
185732,2018-07-08
185732,2018-07-30
185732,2018-08-02
185732,2018-08-04
185732,2018-08-11
185732,2018-08-12
185732,2018-08-26
185732,2018-09-09
185732,2019-02-12
185732,2019-02-15
185732,2019-03-03
185732,2019-05-19
193366,2012-02-16
193366,2012-06-09
193366,2012-06-26
193366,2012-07-15
193366,2012-12-29
193366,2013-01-01
193366,2013-02-14
193366,2013-03-04
193366,2013-05-18
193366,2013-05-24
193366,2013-06-03
193366,2013-06-07
193366,2013-06-22
193366,2013-06-25
193366,2013-07-01
193366,2013-07-23
193366,2013-08-18
193366,2013-08-24
193366,2013-09-07
193366,2013-09-13
193366,2014-01-01
193366,2014-03-10
193366,2014-03-15
193366,2014-03-30
193366,2014-04-24
193366,2014-05-10
193366,2014-05-13
193366,2014-05-20
193366,2014-05-28
193366,2014-06-16
193366,2014-07-14
193366,2014-07-22
193366,2014-07-25
193366,2014-08-07
193366,2014-08-12
193366,2014-08-24
193366,2014-08-31
193366,2014-09-28
193366,2014-10-23
193366,2014-11-11
193366,2014-11-30
193366,2015-01-04
193366,2015-05-03
193366,2015-06-01
193366,2015-06-16
193366,2015-06-19
193366,2015-06-25
193366,2015-07-05
193366,2015-07-15
193366,2015-07-20
193366,2015-08-09
193366,2015-08-17
193366,2015-08-28
193366,2015-09-02
193366,2015-09-13
193366,2016-05-05
193366,2016-06-12
193366,2016-06-23
193366,2016-06-27
193366,2016-08-01
193366,2016-08-10
193366,2016-08-16
193366,2016-08-23
193366,2016-08-29
193366,2016-09-20
193366,2016-09-27
193366,2016-10-22
193366,2016-11-12
193366,2016-12-18
193366,2016-12-28
193366,2017-01-24
193366,2017-01-29
193366,2017-02-06
193366,2017-02-21
193366,2017-03-05
193366,2017-03-21
193366,2017-03-29
193366,2017-05-08
193366,2017-06-21
193366,2017-07-01
193366,2017-07-10
193366,2017-07-21
193366,2017-07-24
193366,2017-09-08
193366,2017-09-18
193366,2017-10-04
193366,2017-10-07
193366,2017-10-23
193366,2017-12-23
193366,2017-12-27
193366,2017-12-30
193366,2018-01-31
193366,2018-02-21
193366,2018-03-13
193366,2018-03-17
193366,2018-03-28
193366,2018-04-04
193366,2018-05-11
193366,2018-05-17
193366,2018-05-21
193366,2018-06-21
193366,2018-07-05
193366,2018-08-12
193366,2018-08-16
193366,2018-08-23
193366,2018-08-26
193366,2018-08-29
193366,2018-09-20
193366,2018-09-23
193366,2018-09-27
193366,2018-10-17
193366,2018-10-23
193366,2018-11-02
193366,2018-11-12
193366,2018-11-16
193366,2018-11-25
193366,2018-12-24
193366,2018-12-28
193366,2019-02-08
193366,2019-02-28
193366,2019-04-17
193366,2019-04-22
193366,2019-05-04
193366,2019-05-18
200672,2015-09-28
200672,2016-10-31
200672,2017-08-01
200672,2017-08-31
200672,2017-09-30
200672,2018-03-29
200672,2018-05-31
201427,2012-07-03
201427,2012-07-20
201427,2012-08-07
201427,2012-08-09
201427,2012-08-17
201427,2012-09-14
201427,2013-05-29
201427,2013-07-03
201427,2013-07-09
201427,2013-07-15
201427,2013-07-30
201427,2013-08-12
201427,2013-08-15
201427,2013-08-25
201427,2013-09-05
201427,2013-09-21
201427,2013-11-15
201427,2014-07-09
201427,2015-07-28
201427,2016-06-13
201427,2016-06-26
201427,2016-07-02
201427,2016-07-11
201427,2016-07-18
201427,2016-07-20
201427,2016-07-28
201427,2016-08-11
201427,2016-08-14
201427,2016-08-26
201427,2016-08-31
201427,2016-09-06
201427,2017-07-03
201427,2017-07-08
201427,2017-09-05
201427,2018-04-01
201427,2018-06-15
201427,2018-07-26
201427,2018-07-31
201427,2018-08-16
201427,2018-08-18
201427,2018-08-21
201427,2018-08-25
201427,2018-09-02
201427,2018-09-08
201427,2018-09-21
201427,2018-09-29
201441,2015-08-07
201441,2016-09-13
201441,2017-07-18
201441,2017-07-22
201441,2017-09-29
201441,2018-06-10
201441,2018-06-23
201441,2018-06-29
201441,2018-08-27
201441,2018-09-03
201441,2018-09-23
203416,2012-11-15
203416,2013-02-26
203416,2013-04-07
203416,2013-04-14
203416,2013-05-06
203416,2013-05-20
203416,2013-06-03
203416,2013-06-07
203416,2013-06-10
203416,2013-06-12
203416,2013-06-30
203416,2013-07-15
203416,2013-08-10
203416,2013-08-12
203416,2013-08-23
203416,2013-08-30
203416,2013-09-03
203416,2013-09-04
203416,2013-09-24
203416,2013-10-14
203416,2013-12-22
203416,2014-01-27
203416,2014-02-14
203416,2014-03-13
203416,2014-03-17
203416,2014-03-27
203416,2014-04-11
203416,2014-05-05
203416,2014-05-11
203416,2014-05-14
203416,2014-05-22
203416,2014-05-31
203416,2014-06-27
203416,2014-07-04
203416,2014-07-18
203416,2014-07-22
203416,2014-07-25
203416,2014-07-26
203416,2014-07-29
203416,2014-07-30
203416,2014-08-01
203416,2014-08-09
203416,2014-08-16
203416,2014-08-17
203416,2014-08-27
203416,2014-08-28
203416,2014-09-02
203416,2014-09-08
203416,2014-09-17
203416,2014-09-21
203416,2014-09-28
203416,2014-10-17
203416,2014-10-19
203416,2014-10-25
203416,2014-10-27
203416,2014-11-03
203416,2014-11-16
203416,2014-11-23
203416,2014-12-21
203416,2015-01-18
203416,2015-01-25
203416,2015-02-01
203416,2015-02-08
203416,2015-02-25
203416,2015-03-06
203416,2015-03-09
203416,2015-03-12
203416,2015-03-15
203416,2015-03-20
203416,2015-03-22
203416,2015-03-25
203416,2015-03-27
203416,2015-03-29
203416,2015-04-05
203416,2015-04-10
203416,2015-04-17
203416,2015-04-21
203416,2015-05-18
203416,2015-06-03
203416,2015-06-07
203416,2015-06-18
203416,2015-07-02
203416,2015-07-04
203416,2015-07-16
203416,2015-07-24
203416,2015-08-03
203416,2015-08-23
203416,2015-08-25
203416,2015-08-27
203416,2015-08-30
203416,2015-09-03
203416,2015-09-07
203416,2015-09-10
203416,2015-09-13
203416,2015-09-15
203416,2015-09-18
203416,2015-09-24
203416,2015-10-06
203416,2015-10-11
203416,2015-10-15
203416,2015-10-18
203416,2015-10-22
203416,2015-10-30
203416,2015-11-02
203416,2015-11-08
203416,2015-11-27
203416,2015-12-04
203416,2015-12-14
203416,2015-12-20
203416,2015-12-24
203416,2016-01-18
203416,2016-01-28
203416,2016-01-31
203416,2016-02-21
203416,2016-02-29
203416,2016-03-05
203416,2016-03-10
203416,2016-03-13
203416,2016-03-17
203416,2016-03-27
203416,2016-04-04
203416,2016-04-06
203416,2016-04-09
203416,2016-04-14
203416,2016-04-26
203416,2016-04-28
203416,2016-05-01
203416,2016-05-06
203416,2016-05-12
203416,2016-05-14
203416,2016-05-16
203416,2016-05-19
203416,2016-05-26
203416,2016-05-30
203416,2016-06-01
203416,2016-06-04
203416,2016-06-05
203416,2016-06-07
203416,2016-06-13
203416,2016-06-16
203416,2016-06-17
203416,2016-06-23
203416,2016-06-29
203416,2016-07-02
203416,2016-07-14
203416,2016-07-25
203416,2016-07-26
203416,2016-07-29
203416,2016-09-09
203416,2016-09-21
203416,2016-10-07
203416,2016-10-10
203416,2016-10-30
203416,2016-11-03
203416,2016-11-13
203416,2016-11-23
203416,2016-11-27
203416,2016-12-04
203416,2016-12-11
203416,2016-12-14
203416,2016-12-21
203416,2016-12-30
203416,2017-01-08
203416,2017-01-20
203416,2017-01-23
203416,2017-02-15
203416,2017-03-12
203416,2017-03-20
203416,2017-03-26
203416,2017-04-01
203416,2017-04-16
203416,2017-04-20
203416,2017-05-22
203416,2017-05-28
203416,2017-06-07
203416,2017-06-11
203416,2017-06-18
203416,2017-06-21
203416,2017-06-24
203416,2017-07-04
203416,2017-07-09
203416,2017-07-13
203416,2017-07-30
203416,2017-09-20
203416,2017-09-24
203416,2017-09-26
203416,2017-09-29
203416,2017-10-08
203416,2017-10-11
203416,2017-10-14
203416,2017-10-19
203416,2017-10-23
203416,2017-10-27
203416,2017-11-19
203416,2017-11-23
203416,2017-11-26
203416,2017-11-28
203416,2017-12-02
203416,2017-12-04
203416,2017-12-07
203416,2017-12-10
203416,2017-12-18
203416,2017-12-21
203416,2018-01-05
203416,2018-01-08
203416,2018-01-12
203416,2018-01-16
203416,2018-01-21
203416,2018-01-28
203416,2018-02-02
203416,2018-02-04
203416,2018-02-12
203416,2018-02-15
203416,2018-02-19
203416,2018-02-23
203416,2018-02-27
203416,2018-03-04
203416,2018-03-19
203416,2018-03-25
203416,2018-03-30
203416,2018-04-01
203416,2018-04-08
203416,2018-04-15
203416,2018-04-20
203416,2018-04-22
203416,2018-04-27
203416,2018-04-29
203416,2018-05-04
203416,2018-05-06
203416,2018-05-21
203416,2018-05-24
203416,2018-06-01
203416,2018-06-04
203416,2018-06-06
203416,2018-06-10
203416,2018-06-19
203416,2018-06-24
203416,2018-06-30
203416,2018-07-08
203416,2018-07-13
203416,2018-07-16
203416,2018-07-19
203416,2018-07-22
203416,2018-07-25
203416,2018-08-20
203416,2018-08-25
203416,2018-08-30
203416,2018-09-03
203416,2018-09-07
203416,2018-09-24
203416,2018-09-28
203416,2018-10-15
203416,2018-10-28
203416,2018-11-05
203416,2018-11-12
203416,2018-11-25
203416,2018-12-29
203416,2019-01-02
203416,2019-01-09
203416,2019-01-13
203416,2019-01-17
203416,2019-01-24
203416,2019-02-02
203416,2019-02-14
203416,2019-02-22
203416,2019-02-26
203416,2019-03-19
203416,2019-03-24
203416,2019-04-01
203416,2019-04-08
203416,2019-04-19
